,event_date,dimension,dimension_value,views,likes,messages_received,messages_sent,users_received,users_sent
0,2023-07-05,os,Android,441659,95235,8256,8409,6187,6035
1,2023-07-05,os,iOS,240797,51863,4644,4491,3256,3408
2,2023-07-05,gender,0,304311,65689,6314,5828,4416,4339
3,2023-07-05,gender,1,378145,81409,6586,7072,5027,5104
4,2023-07-05,age,14,9977,2144,548,256,202,100
5,2023-07-05,age,15,22024,4774,148,380,128,261
6,2023-07-05,age,16,27562,5952,281,490,254,389
7,2023-07-05,age,17,33405,7341,413,559,386,474
8,2023-07-05,age,18,36653,8018,744,706,533,654
9,2023-07-05,age,19,40576,8692,857,823,790,772
10,2023-07-05,age,20,42245,9102,734,711,673,683
11,2023-07-05,age,21,43549,9399,847,807,775,760
12,2023-07-05,age,22,35332,7580,662,622,622,603
13,2023-07-05,age,23,33513,7323,932,545,653,524
14,2023-07-05,age,24,27457,5867,642,561,533,532
15,2023-07-05,age,25,24438,5441,523,470,490,448
16,2023-07-05,age,26,22221,4649,602,415,495,401
17,2023-07-05,age,27,17900,3965,736,423,468,407
18,2023-07-05,age,28,16732,3554,264,247,253,237
19,2023-07-05,age,29,16772,3648,441,401,391,374
20,2023-07-05,age,30,17094,3706,200,295,182,273
21,2023-07-05,age,31,15355,3397,226,296,203,246
22,2023-07-05,age,32,15223,3186,673,283,291,195
23,2023-07-05,age,33,12604,2627,554,323,252,147
24,2023-07-05,age,34,14786,3167,191,286,154,96
25,2023-07-05,age,35,15146,3240,169,206,130,52
26,2023-07-05,age,36,13224,2888,72,211,66,54
27,2023-07-05,age,37,10955,2337,50,173,46,49
28,2023-07-05,age,38,11504,2451,75,286,63,74
29,2023-07-05,age,39,9974,2108,55,320,49,81
30,2023-07-05,age,40,10098,2124,403,157,98,43
31,2023-07-05,age,41,9594,1975,35,211,26,57
32,2023-07-05,age,42,8389,1797,14,122,11,37
33,2023-07-05,age,43,7798,1705,14,152,10,39
34,2023-07-05,age,44,6808,1473,430,152,81,39
35,2023-07-05,age,45,5828,1232,3,109,3,25
